case_id,patient_tld_gain,component_id,score,added_reference_voxels,airway_core_voxels,core_fraction,length_proxy_mm,elongation,mean_reference_radius_mm,centre_i,centre_j,centre_k
081,0.03050397877984079,263,3453.2052412072617,610,266,0.4360655737704918,15.539483171093833,1.6358772335755871,1.2538518815282444,251.3655737704918,257.2918032786885,662.0245901639344
087,0.04262052959172902,446,3440.6287018294006,514,478,0.9299610894941635,12.029630048302009,1.1776458923919049,3.4422774443063386,252.12062256809338,257.15758754863816,752.0700389105058
034,0.020825721592985014,609,1861.696518728172,260,154,0.5923076923076923,20.221673363699228,1.7245994737666583,1.916301874815129,258.3,252.6,744.6038461538461
116,0.02416263956007325,274,1142.4555397182532,166,139,0.8373493975903614,14.030687022122281,1.8081784570728676,3.344992520029113,254.1024096385542,285.7590361445783,540.2831325301205
087,0.04262052959172902,448,1012.9527713069813,146,140,0.958904109589041,12.544296993722106,1.634219731332271,3.4367971977464893,252.32191780821918,259.0342465753425,733.3835616438356
034,0.020825721592985014,293,692.744289565013,237,23,0.0970464135021097,7.099033294747552,1.0934900578072357,1.0006548257998944,200.18987341772151,318.9029535864979,425.957805907173
046,0.028377942599161488,6,477.94725275531795,124,0,0.0,14.856502108243742,6.011437273880072,0.7482800507919188,172.08870967741936,260.1532258064516,357.8709677419355
116,0.02416263956007325,137,456.4344503879084,116,0,0.0,15.482491639485136,7.182295477655985,0.7085667703200029,198.2844827586207,219.5948275862069,227.22413793103448
087,0.04262052959172902,663,414.69738999764576,121,15,0.12396694214876033,9.297898208848371,2.079801560022839,0.9381970430614472,335.6776859504132,302.93388429752065,348.8595041322314
034,0.020825721592985014,888,396.11727090757904,116,0,0.0,11.66088676510615,3.4831437568142576,0.8318876119912246,323.4913793103448,306.3534482758621,339.01724137931035
046,0.028377942599161488,456,305.42603205938894,75,0,0.0,16.58401085502984,7.9634696375962095,0.8064447814060786,323.06666666666666,254.44,480.4533333333334
087,0.04262052959172902,210,296.6446083211037,83,0,0.0,12.773700630858041,7.123274182766216,0.7155151433721981,174.1686746987952,354.10843373493975,274.33734939759034
034,0.020825721592985014,13,272.1860094803896,85,0,0.0,10.254010208561763,4.191179690169267,0.6972496950192925,137.0235294117647,250.47058823529412,297.74117647058824
147,0.030355731225296445,174,268.673243072094,78,0,0.0,11.864778360104618,5.168951036907924,0.7122810195559918,203.2051282051282,216.6153846153846,330.8205128205128
125,0.023978545511910365,154,266.0956071207508,69,0,0.0,14.872268878168658,6.608186968936531,0.686037821157238,196.84057971014494,209.5072463768116,328.8695652173913
152,0.02541054451166813,700,254.8621871542871,64,0,0.0,15.85808946315109,8.344083235335953,0.60009765625,320.71875,369.046875,164.890625
147,0.030355731225296445,482,243.4711639069041,74,0,0.0,10.825092705292654,3.6416750383443377,0.7965754558985038,347.52702702702703,294.02702702702703,339.0675675675676
125,0.023978545511910365,213,242.83251238489916,72,0,0.0,11.374928447369253,5.867979767990429,0.7889954320974216,205.79166666666669,342.84722222222223,226.33333333333334
081,0.03050397877984079,444,237.68501240053274,62,0,0.0,14.69671309048944,5.24733080128301,0.6164993938678452,393.8225806451613,232.0483870967742,263.741935483871
116,0.02416263956007325,434,234.0748737834621,67,0,0.0,12.20562408927238,5.297946658607387,0.6584349164156645,325.5223880597015,332.7164179104478,203.16417910447763
087,0.04262052959172902,64,198.45435099301358,59,0,0.0,11.31402741397823,5.496593531471619,0.5886696084727533,149.49152542372883,247.32203389830508,443.7118644067797
046,0.028377942599161488,442,185.4579229568706,69,1,0.014492753623188406,7.019314528056438,1.8826194927107467,0.8778819848581383,319.04347826086956,276.6086956521739,466.6086956521739
